Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-12-01,Little Women,2019,https://boxd.it/1uiJTT,5,,,2020-01-01
2020-12-06,Uncut Gems,2019,https://boxd.it/1uQMXd,4.5,,,2020-01-05
2020-12-06,John Mulaney & The Sack Lunch Bunch,2019,https://boxd.it/1uQN7x,4.5,,,2020-01-05
2020-12-06,Seth Meyers: Lobby Baby,2019,https://boxd.it/1uQNPf,,,,2020-01-06
2020-12-06,John Mulaney & The Sack Lunch Bunch,2019,https://boxd.it/1uQMl9,4.5,,,2020-01-09
2020-12-06,Jenny Slate: Stage Fright,2019,https://boxd.it/1uQOgF,,,,2020-01-09
2020-12-06,Black Mirror: Bandersnatch,2018,https://boxd.it/1uQNn1,3.5,,,2020-01-12
2020-12-07,Go Figure,2005,https://boxd.it/1uSn2l,,,,2020-01-15
2020-12-07,Jojo Rabbit,2019,https://boxd.it/1uSmWR,,,,2020-01-17
2020-12-07,The Swap,2016,https://boxd.it/1uSnhF,,,,2020-01-19
2020-12-06,Mike Birbiglia: The New One,2019,https://boxd.it/1uQOML,4.5,,,2020-01-20
2020-12-06,Michelle Wolf: Joke Show,2019,https://boxd.it/1uQP3R,3.5,,,2020-01-20
2020-12-07,Knives Out,2019,https://boxd.it/1uSnrl,5,,,2020-01-24
2020-12-07,Kim Possible Movie: So the Drama,2005,https://boxd.it/1uSnNh,,,,2020-01-25
2020-12-07,How to Build a Better Boy,2014,https://boxd.it/1uSok1,,,,2020-01-25
2020-12-07,Parasite,2019,https://boxd.it/1uSopZ,5,,,2020-01-26
2020-12-07,Paddington,2014,https://boxd.it/1uSoKj,5,,,2020-02-01
2020-12-07,Descendants 3,2019,https://boxd.it/1uSoOb,,,,2020-02-02
2020-12-07,Lady Bird,2017,https://boxd.it/1uSoRf,5,,,2020-02-06
2020-12-07,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/1uSod5,3,,,2020-02-07
2020-12-07,Knives Out,2019,https://boxd.it/1uWvzZ,5,Yes,,2020-02-07
2020-12-07,Booksmart,2019,https://boxd.it/1uSpyt,4.5,,,2020-02-10
2020-12-06,Miss Americana,2020,https://boxd.it/1uQPhz,2.5,,,2020-02-17
2020-12-07,The Farewell,2019,https://boxd.it/1uSpHZ,4,,,2020-02-17
2020-08-06,Horse Girl,2020,https://boxd.it/1hRowd,4,,,2020-02-18
2020-12-06,Fortune Feimster: Sweet & Salty,2020,https://boxd.it/1uQPWd,3.5,,,2020-02-18
2020-12-06,Iliza Shlesinger: Unveiled,2019,https://boxd.it/1uQQm1,,,,2020-02-19
2020-12-06,"Gabriel ""Fluffy"" Iglesias: One Show Fits All",2019,https://boxd.it/1uQR8J,,,,2020-02-23
2020-12-07,Portrait of a Lady on Fire,2019,https://boxd.it/1uSq3V,5,,,2020-03-06
2020-12-07,Parasite,2019,https://boxd.it/1uSoAN,5,Yes,,2020-03-07
2020-12-06,Dolemite Is My Name,2019,https://boxd.it/1uQRIH,3.5,,,2020-03-08
2020-12-06,Pete Davidson: Alive from New York,2020,https://boxd.it/1uQSaV,,,,2020-03-11
2020-12-06,John Mulaney: Kid Gorgeous at Radio City,2018,https://boxd.it/1uQSEr,,,,2020-03-11
2020-12-06,Taylor Tomlinson: Quarter-Life Crisis,2020,https://boxd.it/1uQSRZ,,,,2020-03-12
2020-12-06,Marc Maron: End Times Fun,2020,https://boxd.it/1uQT8h,,,,2020-03-14
2020-12-06,Tiffany Haddish: Black Mitzvah,2019,https://boxd.it/1uQTjp,,,,2020-03-14
2020-12-06,David A. Arnold: Fat Ballerina,2020,https://boxd.it/1uQTud,,,,2020-03-14
2020-12-07,Toy Story 4,2019,https://boxd.it/1uSqmX,4,,,2020-03-17
2020-12-07,Horse Sense,1999,https://boxd.it/1uSqs7,,,,2020-03-19
2020-12-06,Nate Bargatze: The Tennessee Kid,2019,https://boxd.it/1uQUqh,,,,2020-03-20
2020-12-07,Hatching Pete,2009,https://boxd.it/1uSqx7,,,,2020-03-21
2020-12-07,Life Is Ruff,2005,https://boxd.it/1uSqCh,,,,2020-03-22
2020-12-07,Quints,2000,https://boxd.it/1uSqEH,,,,2020-03-23
2020-12-06,Austin Powers: International Man of Mystery,1997,https://boxd.it/1uQUH3,4,,,2020-03-28
2020-12-07,The Man Who Killed Don Quixote,2018,https://boxd.it/1uSqNT,3.5,,,2020-03-29
2020-12-06,Dave Chappelle: The Kennedy Center Mark Twain Prize,2020,https://boxd.it/1uQUYj,,,,2020-04-05
2020-12-06,Austin Powers: The Spy Who Shagged Me,1999,https://boxd.it/1uQVdD,3.5,,,2020-04-06
2020-12-06,Rosemary's Baby,1968,https://boxd.it/1uQWf1,4.5,,,2020-04-06
2020-12-07,Ingrid Goes West,2017,https://boxd.it/1uSqUZ,4.5,,,2020-04-06
2020-12-06,Monty Python and the Holy Grail,1975,https://boxd.it/1uQWJF,3.5,,,2020-04-07
2020-12-06,Bathtubs Over Broadway,2018,https://boxd.it/1uQWNx,4,,,2020-04-07
2020-12-07,What We Do in the Shadows,2014,https://boxd.it/1uSr4b,4,,,2020-04-08
2020-12-06,The Death of Stalin,2017,https://boxd.it/1uQWUD,2.5,,,2020-04-09
2020-12-07,Frozen II,2019,https://boxd.it/1uSra9,,,,2020-04-09
2020-12-06,Maria Bamford: The Special Special Special!,2012,https://boxd.it/1uQX9D,,,,2020-04-10
2020-12-07,Blazing Saddles,1974,https://boxd.it/1uSrg7,4,,,2020-04-10
2020-12-06,Scary Movie,2000,https://boxd.it/1uQYcX,1.5,,,2020-04-11
